epoch,coverage,validity,proximity_continuous_manhattan,proximity_continuous_euclidean,prob_plausibility,log_density_cf,lof_scores_cf,isolation_forest_scores_cf,proximity_categorical_hamming,proximity_categorical_jaccard,time,dataset,dist-lambda,proj-lambda,flow-lambda,train-auroc,train-acc,test-auroc,test-acc
306,1.0000,0.5793,0.1566,0.1205,0.0000,-7.7313,1.1371,0.0111,,0.0000,0.0050,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,0.9985,0.9878
357,1.0000,0.4040,0.1789,0.1357,0.0000,-7.7310,1.1310,0.0084,,0.0000,0.0025,MOONS,0.1000,0.8000,0.1000,653.8288,649.0000,1.0000,0.9939
408,1.0000,0.4716,0.1991,0.1501,0.0000,-7.7315,1.1535,0.0079,,0.0000,0.0000,MOONS,0.1000,0.8000,0.1000,653.9437,648.0000,1.0000,0.9939
459,1.0000,0.3746,0.1707,0.1295,0.0000,-7.7325,1.1981,0.0072,,0.0000,0.0025,MOONS,0.1000,0.8000,0.1000,654.0000,653.0000,1.0000,0.9939
501,1.0000,0.0060,0.0045,0.0037,0.7687,0.6312,1.0088,0.0048,,0.0000,0.0035,MOONS,0.1000,0.8000,0.1000,653.9531,650.0000,1.0000,0.9939
618,1.0000,1.0000,0.4318,0.3455,0.8427,0.2481,1.1565,0.0062,,0.0000,0.0039,MOONS,0.1000,0.8000,0.1000,653.9375,650.0000,0.9993,0.9817
51,1.0000,0.0000,,,0.0000,-7.7325,10.2851,-0.1576,,,0.0000,MOONS,0.1000,0.8000,0.1000,653.5878,647.0000,1.0000,0.9878
51,1.0000,0.0000,,,0.0000,-50.7349,1.0626,-0.0031,,,0.0025,HEART,0.0500,0.9000,0.0500,170.3870,154.0000,0.8355,0.7541
102,1.0000,0.0000,,,0.0000,-50.7261,1.0602,-0.0049,,,0.0000,HEART,0.0500,0.9000,0.0500,176.2286,168.0000,0.8279,0.7377
153,1.0000,0.0000,,,0.0000,-50.7162,1.0540,0.0007,,,0.0025,HEART,0.0500,0.9000,0.0500,179.8406,174.0000,0.8171,0.7541
204,1.0000,0.0000,,,0.0000,-50.7326,1.0564,0.0068,,,0.0048,HEART,0.0500,0.9000,0.0500,179.3278,171.0000,0.7933,0.7869
